Title	URL	Assigned Group	Assignees	Status	Priority	Estimate	Sprint
Do research on which models we should use to process image	https://github.com/Apple-Vision-Pro-UA-CS495/data-processing-main/issues/2	Anthony, Donovan, Sam		Done	P0	3	Sprint 1
Create VisionOS app using SwiftUI in Xcode	https://github.com/Apple-Vision-Pro-UA-CS495/apple-vision-pro-main/issues/1		ttdo19	Done	P0	3	Sprint 1
Create a website about the Capstone project	https://github.com/Apple-Vision-Pro-UA-CS495/project-website/issues/1		rarmenta0	Done	P0	2	Sprint 1
Do research on which server we should use to apply LLM to collected data	https://github.com/Apple-Vision-Pro-UA-CS495/data-processing-main/issues/1	Anthony, Donovan, Sam		Done	P0	3	Sprint 1
Build API for server	https://github.com/Apple-Vision-Pro-UA-CS495/data-processing-main/issues/4	Anthony, Donovan, Sam		Done	P0	8	Sprint 1
Allow users to pick photos from photo library in VisionOS app	https://github.com/Apple-Vision-Pro-UA-CS495/apple-vision-pro-main/issues/8		ttdo19	Done	P0	5	Sprint 1
Encode image in Swift before sending it to the server	https://github.com/Apple-Vision-Pro-UA-CS495/apple-vision-pro-main/issues/9		ttdo19	Done	P0	2	Sprint 1
High level research on AWS/models	https://github.com/Apple-Vision-Pro-UA-CS495/data-processing-main/issues/6	Anthony, Donovan, Sam		Done	P0	10	Sprint 1
Update existing code for WebSockets	https://github.com/Apple-Vision-Pro-UA-CS495/data-processing-main/issues/5		Clamor6775	Done	P0	2	Sprint 1
Apply speech recognition to the visionOS app	https://github.com/Apple-Vision-Pro-UA-CS495/apple-vision-pro-main/issues/3		rarmenta0	Done	P1	10	Sprint 2
Update the project website to add animations and make it more appealing, interactive and user-friendly	https://github.com/Apple-Vision-Pro-UA-CS495/project-website/issues/2		ttdo19	Done	P1	30	Sprint 2
Create components to display results from the server after sending the data	https://github.com/Apple-Vision-Pro-UA-CS495/apple-vision-pro-main/issues/5		ttdo19	Done	P1	5	Sprint 2
Work on getting dependencies into Lambda function	https://github.com/Apple-Vision-Pro-UA-CS495/data-processing-main/issues/7	Anthony, Donovan, Sam		Done	P1	30	Sprint 2
Refactoring the visionOS code to follow MVVM	https://github.com/Apple-Vision-Pro-UA-CS495/apple-vision-pro-main/issues/13		ttdo19	Done	P1	3	Sprint 2
Create EC2 instance, install dependencies	https://github.com/Apple-Vision-Pro-UA-CS495/data-processing-main/issues/8		Clamor6775	Done	P1	3	Sprint 2
Move code into EC2 instance and get it running, hit with Postman	https://github.com/Apple-Vision-Pro-UA-CS495/data-processing-main/issues/9		Clamor6775	Done	P1	3	Sprint 2
Allow users to use voice recognition and send a request to OpenAI	https://github.com/Apple-Vision-Pro-UA-CS495/apple-vision-pro-main/issues/16		rarmenta0	Done	P2	5	Sprint 3
Allow users to take pictures in real-time using the headset	https://github.com/Apple-Vision-Pro-UA-CS495/apple-vision-pro-main/issues/2	Trang, Raudel		Todo	P2	10	Sprint 3
Work on website section for how to install software (visionOS)	https://github.com/Apple-Vision-Pro-UA-CS495/apple-vision-pro-tutorial/issues/1		ttdo19	Done	P2	2	Sprint 3
Work on website section for how to set up AWS	https://github.com/Apple-Vision-Pro-UA-CS495/apple-vision-pro-tutorial/issues/2		Clamor6775	Done	P2	2	Sprint 3
Work on website section for how to use each feature	https://github.com/Apple-Vision-Pro-UA-CS495/apple-vision-pro-tutorial/issues/3		dpkohler	Done	P2	2	Sprint 3
Work on website section for FAQs	https://github.com/Apple-Vision-Pro-UA-CS495/apple-vision-pro-tutorial/issues/4		adrutherford	Done	P2	2	Sprint 3
Work on website section for modification/extension	https://github.com/Apple-Vision-Pro-UA-CS495/apple-vision-pro-tutorial/issues/5		rarmenta0	Done	P2	2	Sprint 3
Display the Voice Recognition View based on NavigationStack and Refactor the Code for Readability	https://github.com/Apple-Vision-Pro-UA-CS495/apple-vision-pro-main/issues/19		ttdo19	Done	P2	3	Sprint 3
Do research on unit testing in Xcode and write unit tests for the visionOS app	https://github.com/Apple-Vision-Pro-UA-CS495/apple-vision-pro-main/issues/20		ttdo19	Done	P2	7	Sprint 3
Set up the documentation website from Read the Docs Tutorial	https://github.com/Apple-Vision-Pro-UA-CS495/apple-vision-pro-main/issues/21		ttdo19	Done	P2	2	Sprint 3
Write unit tests for the backend	https://github.com/Apple-Vision-Pro-UA-CS495/data-processing-main/issues/11	Anthony, Donovan, Sam		Done	P2	10	Sprint 3
Make security updates based on recommendations from the cybersecurity team	https://github.com/Apple-Vision-Pro-UA-CS495/data-processing-main/issues/12		adrutherford	Done	P2	5	Sprint 3
Add screen recording for software installation and features to documentation website	https://github.com/Apple-Vision-Pro-UA-CS495/apple-vision-pro-tutorial/issues/6		ttdo19	Done	P2	5	Sprint 3